sentence,label
[CLS] user_73 [SEP] movie_30 movie_15 movie_166 movie_35 [SEP] 4.5 5.0 5.0 [MASK],3.0
[CLS] user_12 [SEP] movie_22 movie_111 movie_63 movie_111 [SEP] 3.0 3.5 4.0 [MASK],3.5
[CLS] user_47 [SEP] movie_40 movie_21 movie_63 movie_94 [SEP] 4.0 4.0 5.0 [MASK],4.0
[CLS] user_48 [SEP] movie_1 movie_15 movie_94 movie_18 [SEP] 1.5 4.5 2.5 [MASK],3.0
[CLS] user_3 [SEP] movie_22 movie_4 movie_27 movie_43 [SEP] 3.0 4.0 4.5 [MASK],3.5
[CLS] user_3 [SEP] movie_11 movie_34 movie_27 movie_55 [SEP] 3.5 4.0 4.5 [MASK],5.0
[CLS] user_2 [SEP] movie_49 movie_6 movie_59 movie_58 [SEP] 3.0 3.0 3.0 [MASK],3.0
[CLS] user_49 [SEP] movie_25 movie_17 movie_32 movie_39 [SEP] 1.0 5.0 5.0 [MASK],4.0
[CLS] user_25 [SEP] movie_22 movie_30 movie_1 movie_56 [SEP] 2.5 5.0 3.5 [MASK],1.5
[CLS] user_16 [SEP] movie_19 movie_80 movie_11 movie_75 [SEP] 4.0 3.0 4.0 [MASK],3.0
[CLS] user_13 [SEP] movie_30 movie_19 movie_94 movie_94 [SEP] 5.0 2.0 3.0 [MASK],3.0
[CLS] user_1 [SEP] movie_38 movie_31 movie_13 movie_29 [SEP] 3.5 3.0 4.0 [MASK],3.5
[CLS] user_5 [SEP] movie_89 movie_69 movie_88 movie_17 [SEP] 3.0 4.0 3.0 [MASK],5.0
[CLS] user_46 [SEP] movie_40 movie_11 movie_109 movie_36 [SEP] 4.0 1.5 2.0 [MASK],3.0
[CLS] user_70 [SEP] movie_164 movie_116 movie_150 movie_56 [SEP] 3.0 4.0 1.0 [MASK],4.0
[CLS] user_64 [SEP] movie_40 movie_15 movie_13 movie_22 [SEP] 4.5 5.0 4.0 [MASK],4.5
[CLS] user_61 [SEP] movie_30 movie_59 movie_65 movie_65 [SEP] 4.0 4.0 3.0 [MASK],3.0
[CLS] user_4 [SEP] movie_57 movie_7 movie_75 movie_79 [SEP] 1.0 1.0 2.0 [MASK],3.0
[CLS] user_2 [SEP] movie_44 movie_47 movie_45 movie_22 [SEP] 3.0 3.0 4.0 [MASK],3.0
[CLS] user_58 [SEP] movie_17 movie_115 movie_57 movie_48 [SEP] 4.0 5.0 2.0 [MASK],4.0
[CLS] user_58 [SEP] movie_19 movie_34 movie_3 movie_1 [SEP] 1.0 4.0 4.0 [MASK],5.0
[CLS] user_37 [SEP] movie_138 movie_29 movie_59 movie_35 [SEP] 5.0 4.0 3.0 [MASK],5.0
[CLS] user_65 [SEP] movie_162 movie_32 movie_22 movie_75 [SEP] 4.0 5.0 4.0 [MASK],5.0
[CLS] user_24 [SEP] movie_14 movie_22 movie_114 movie_51 [SEP] 3.0 3.0 2.0 [MASK],3.0
[CLS] user_68 [SEP] movie_106 movie_21 movie_73 movie_50 [SEP] 1.0 4.0 5.0 [MASK],3.0
[CLS] user_75 [SEP] movie_13 movie_17 movie_22 movie_39 [SEP] 4.5 5.0 4.0 [MASK],4.5
[CLS] user_2 [SEP] movie_50 movie_49 movie_29 movie_23 [SEP] 4.0 3.0 4.0 [MASK],5.0
[CLS] user_22 [SEP] movie_121 movie_57 movie_63 movie_121 [SEP] 4.0 3.0 5.0 [MASK],4.0
[CLS] user_55 [SEP] movie_71 movie_17 movie_23 movie_78 [SEP] 3.0 3.5 4.5 [MASK],3.0
[CLS] user_66 [SEP] movie_29 movie_1 movie_58 movie_20 [SEP] 4.0 3.0 3.0 [MASK],3.0
[CLS] user_74 [SEP] movie_4 movie_85 movie_117 movie_11 [SEP] 4.0 3.0 3.0 [MASK],4.0
[CLS] user_26 [SEP] movie_109 movie_9 movie_14 movie_40 [SEP] 2.0 5.0 5.0 [MASK],4.0
[CLS] user_49 [SEP] movie_55 movie_32 movie_25 movie_25 [SEP] 5.0 5.0 1.0 [MASK],1.0
[CLS] user_36 [SEP] movie_58 movie_32 movie_50 movie_30 [SEP] 4.0 5.0 5.0 [MASK],5.0
[CLS] user_17 [SEP] movie_88 movie_87 movie_115 movie_88 [SEP] 4.0 5.0 3.0 [MASK],4.0
[CLS] user_34 [SEP] movie_42 movie_34 movie_1 movie_3 [SEP] 3.0 4.0 2.0 [MASK],3.0
[CLS] user_12 [SEP] movie_17 movie_111 movie_22 movie_46 [SEP] 3.5 3.5 3.0 [MASK],0.5
[CLS] user_10 [SEP] movie_86 movie_50 movie_23 movie_6 [SEP] 4.0 4.0 5.0 [MASK],4.0
[CLS] user_12 [SEP] movie_17 movie_112 movie_22 movie_22 [SEP] 3.5 3.0 3.0 [MASK],3.0
[CLS] user_31 [SEP] movie_9 movie_99 movie_101 movie_48 [SEP] 3.0 4.0 3.0 [MASK],2.0
[CLS] user_17 [SEP] movie_115 movie_6 movie_84 movie_115 [SEP] 3.0 5.0 4.0 [MASK],3.0
[CLS] user_16 [SEP] movie_69 movie_80 movie_33 movie_61 [SEP] 4.0 3.0 4.0 [MASK],4.0
[CLS] user_2 [SEP] movie_49 movie_45 movie_22 movie_15 [SEP] 3.0 4.0 3.0 [MASK],5.0
[CLS] user_30 [SEP] movie_125 movie_29 movie_23 movie_101 [SEP] 4.0 5.0 4.0 [MASK],2.0
[CLS] user_55 [SEP] movie_5 movie_2 movie_106 movie_71 [SEP] 4.5 3.0 3.0 [MASK],3.0
[CLS] user_1 [SEP] movie_36 movie_32 movie_20 movie_6 [SEP] 4.5 3.0 2.0 [MASK],3.0
[CLS] user_48 [SEP] movie_11 movie_32 movie_31 movie_1 [SEP] 2.0 4.5 3.5 [MASK],1.5
[CLS] user_6 [SEP] movie_6 movie_89 movie_61 movie_93 [SEP] 3.5 3.0 4.0 [MASK],0.5
[CLS] user_43 [SEP] movie_63 movie_140 movie_33 movie_6 [SEP] 4.0 4.0 5.0 [MASK],3.0
[CLS] user_52 [SEP] movie_20 movie_1 movie_44 movie_75 [SEP] 4.0 4.0 4.0 [MASK],3.0
[CLS] user_16 [SEP] movie_19 movie_38 movie_75 movie_38 [SEP] 4.0 5.0 3.0 [MASK],5.0
[CLS] user_34 [SEP] movie_24 movie_36 movie_42 movie_13 [SEP] 4.0 4.0 3.0 [MASK],2.0
[CLS] user_21 [SEP] movie_29 movie_13 movie_15 movie_67 [SEP] 4.0 5.0 5.0 [MASK],5.0
[CLS] user_24 [SEP] movie_47 movie_63 movie_30 movie_13 [SEP] 3.0 3.0 4.0 [MASK],4.0
[CLS] user_55 [SEP] movie_73 movie_40 movie_14 movie_20 [SEP] 4.5 2.0 2.5 [MASK],3.0
[CLS] user_18 [SEP] movie_30 movie_39 movie_35 movie_11 [SEP] 3.5 3.5 3.0 [MASK],3.0
[CLS] user_49 [SEP] movie_39 movie_17 movie_119 movie_87 [SEP] 4.0 5.0 3.0 [MASK],5.0
[CLS] user_20 [SEP] movie_73 movie_43 movie_15 movie_6 [SEP] 4.0 3.0 5.0 [MASK],5.0
[CLS] user_57 [SEP] movie_11 movie_58 movie_15 movie_129 [SEP] 3.0 4.0 5.0 [MASK],4.0
[CLS] user_18 [SEP] movie_17 movie_40 movie_11 movie_63 [SEP] 4.5 1.5 3.0 [MASK],3.0
[CLS] user_64 [SEP] movie_33 movie_23 movie_22 movie_13 [SEP] 3.5 4.5 4.5 [MASK],4.0
[CLS] user_56 [SEP] movie_14 movie_13 movie_10 movie_57 [SEP] 5.0 3.0 3.0 [MASK],3.0
[CLS] user_3 [SEP] movie_32 movie_4 movie_56 movie_42 [SEP] 4.5 4.0 3.5 [MASK],3.0
[CLS] user_70 [SEP] movie_18 movie_72 movie_30 movie_18 [SEP] 3.0 2.0 4.0 [MASK],3.0
[CLS] user_1 [SEP] movie_13 movie_36 movie_17 movie_11 [SEP] 4.0 4.5 4.0 [MASK],2.0
[CLS] user_62 [SEP] movie_73 movie_31 movie_48 movie_9 [SEP] 4.0 5.0 1.0 [MASK],5.0
[CLS] user_58 [SEP] movie_58 movie_34 movie_52 movie_115 [SEP] 3.0 4.0 2.0 [MASK],5.0
[CLS] user_37 [SEP] movie_29 movie_138 movie_38 movie_14 [SEP] 4.0 5.0 2.0 [MASK],1.0
[CLS] user_13 [SEP] movie_73 movie_30 movie_94 movie_73 [SEP] 5.0 5.0 3.0 [MASK],5.0
[CLS] user_26 [SEP] movie_8 movie_11 movie_33 movie_79 [SEP] 4.0 3.0 4.0 [MASK],3.0
[CLS] user_31 [SEP] movie_99 movie_9 movie_46 movie_30 [SEP] 4.0 3.0 5.0 [MASK],3.0
[CLS] user_45 [SEP] movie_30 movie_13 movie_68 movie_33 [SEP] 4.0 3.0 3.5 [MASK],3.0
[CLS] user_12 [SEP] movie_17 movie_106 movie_48 movie_40 [SEP] 3.5 3.5 3.5 [MASK],4.5
[CLS] user_23 [SEP] movie_23 movie_62 movie_3 movie_1 [SEP] 5.0 4.0 4.0 [MASK],5.0
[CLS] user_10 [SEP] movie_32 movie_73 movie_110 movie_43 [SEP] 5.0 4.0 5.0 [MASK],4.0
[CLS] user_9 [SEP] movie_6 movie_20 movie_14 movie_1 [SEP] 3.0 3.0 3.0 [MASK],4.0
[CLS] user_77 [SEP] movie_34 movie_117 movie_22 movie_112 [SEP] 4.0 3.0 5.0 [MASK],3.0
[CLS] user_2 [SEP] movie_45 movie_6 movie_49 movie_49 [SEP] 4.0 3.0 3.0 [MASK],3.0
[CLS] user_60 [SEP] movie_39 movie_11 movie_15 movie_86 [SEP] 4.0 4.0 4.0 [MASK],4.0
[CLS] user_2 [SEP] movie_14 movie_1 movie_52 movie_44 [SEP] 5.0 3.0 3.0 [MASK],3.0
[CLS] user_22 [SEP] movie_38 movie_111 movie_19 movie_122 [SEP] 3.0 2.0 3.0 [MASK],1.0
[CLS] user_55 [SEP] movie_12 movie_25 movie_20 movie_119 [SEP] 4.5 2.0 3.0 [MASK],3.0
[CLS] user_35 [SEP] movie_117 movie_3 movie_85 movie_20 [SEP] 3.0 3.0 2.0 [MASK],3.0
[CLS] user_7 [SEP] movie_7 movie_72 movie_87 movie_101 [SEP] 3.0 4.0 3.0 [MASK],4.0
[CLS] user_37 [SEP] movie_34 movie_6 movie_14 movie_23 [SEP] 4.0 4.5 1.0 [MASK],5.0
[CLS] user_65 [SEP] movie_29 movie_88 movie_83 movie_117 [SEP] 5.0 1.0 1.0 [MASK],3.0
[CLS] user_26 [SEP] movie_108 movie_40 movie_79 movie_28 [SEP] 5.0 4.0 3.0 [MASK],3.0
[CLS] user_75 [SEP] movie_95 movie_38 movie_104 movie_46 [SEP] 3.5 4.0 4.0 [MASK],4.0
[CLS] user_1 [SEP] movie_10 movie_2 movie_11 movie_1 [SEP] 3.0 2.5 2.0 [MASK],2.5
[CLS] user_67 [SEP] movie_25 movie_15 movie_5 movie_35 [SEP] 3.5 4.5 4.0 [MASK],2.5
[CLS] user_32 [SEP] movie_33 movie_15 movie_28 movie_15 [SEP] 2.0 3.0 5.0 [MASK],3.0
[CLS] user_46 [SEP] movie_29 movie_14 movie_15 movie_109 [SEP] 2.0 3.0 5.0 [MASK],2.0
[CLS] user_4 [SEP] movie_73 movie_76 movie_79 movie_32 [SEP] 4.0 3.0 3.0 [MASK],4.0
[CLS] user_58 [SEP] movie_35 movie_95 movie_152 movie_47 [SEP] 5.0 5.0 5.0 [MASK],3.0
[CLS] user_22 [SEP] movie_63 movie_111 movie_57 movie_18 [SEP] 5.0 2.0 3.0 [MASK],5.0
[CLS] user_22 [SEP] movie_18 movie_121 movie_57 movie_57 [SEP] 5.0 4.0 3.0 [MASK],3.0
[CLS] user_70 [SEP] movie_8 movie_164 movie_6 movie_46 [SEP] 3.0 3.0 4.0 [MASK],2.0
[CLS] user_44 [SEP] movie_11 movie_4 movie_101 movie_73 [SEP] 3.0 5.0 3.0 [MASK],3.0
[CLS] user_42 [SEP] movie_12 movie_121 movie_20 movie_44 [SEP] 3.0 3.0 4.0 [MASK],3.0
[CLS] user_44 [SEP] movie_1 movie_101 movie_23 movie_4 [SEP] 3.0 3.0 4.0 [MASK],5.0
[CLS] user_3 [SEP] movie_31 movie_22 movie_40 movie_30 [SEP] 4.0 3.0 4.0 [MASK],5.0
[CLS] user_66 [SEP] movie_11 movie_37 movie_59 movie_29 [SEP] 2.0 4.0 5.0 [MASK],4.0
[CLS] user_28 [SEP] movie_111 movie_83 movie_63 movie_31 [SEP] 3.0 4.0 5.0 [MASK],4.0
[CLS] user_51 [SEP] movie_32 movie_5 movie_100 movie_107 [SEP] 5.0 4.0 4.0 [MASK],2.0
[CLS] user_42 [SEP] movie_15 movie_4 movie_22 movie_121 [SEP] 3.0 5.0 4.0 [MASK],3.0
[CLS] user_7 [SEP] movie_13 movie_87 movie_61 movie_45 [SEP] 4.0 3.0 5.0 [MASK],4.0
[CLS] user_8 [SEP] movie_20 movie_48 movie_11 movie_20 [SEP] 3.5 4.5 3.0 [MASK],3.5
[CLS] user_10 [SEP] movie_30 movie_73 movie_86 movie_37 [SEP] 5.0 4.0 4.0 [MASK],3.0
[CLS] user_51 [SEP] movie_23 movie_31 movie_143 movie_23 [SEP] 3.0 5.0 1.0 [MASK],3.0
[CLS] user_25 [SEP] movie_56 movie_13 movie_55 movie_55 [SEP] 1.5 4.5 5.0 [MASK],5.0
[CLS] user_13 [SEP] movie_17 movie_4 movie_5 movie_30 [SEP] 3.0 4.0 2.0 [MASK],5.0
[CLS] user_26 [SEP] movie_109 movie_8 movie_11 movie_109 [SEP] 2.0 4.0 3.0 [MASK],2.0
[CLS] user_29 [SEP] movie_1 movie_86 movie_9 movie_111 [SEP] 4.0 3.0 3.0 [MASK],3.0
[CLS] user_60 [SEP] movie_11 movie_34 movie_14 movie_80 [SEP] 4.0 5.0 3.0 [MASK],4.0
[CLS] user_1 [SEP] movie_29 movie_11 movie_6 movie_5 [SEP] 3.5 2.0 3.0 [MASK],4.0
[CLS] user_30 [SEP] movie_29 movie_133 movie_11 movie_57 [SEP] 5.0 1.5 2.5 [MASK],2.0
[CLS] user_65 [SEP] movie_100 movie_105 movie_3 movie_10 [SEP] 4.0 4.0 5.0 [MASK],4.0
[CLS] user_41 [SEP] movie_69 movie_112 movie_61 movie_104 [SEP] 5.0 2.0 5.0 [MASK],5.0
[CLS] user_59 [SEP] movie_43 movie_30 movie_7 movie_23 [SEP] 4.0 4.0 2.5 [MASK],5.0
[CLS] user_20 [SEP] movie_6 movie_23 movie_104 movie_43 [SEP] 5.0 5.0 4.0 [MASK],3.0
[CLS] user_36 [SEP] movie_1 movie_58 movie_31 movie_32 [SEP] 4.0 4.0 5.0 [MASK],5.0
[CLS] user_65 [SEP] movie_19 movie_65 movie_27 movie_127 [SEP] 2.0 3.0 4.0 [MASK],3.0
[CLS] user_73 [SEP] movie_33 movie_15 movie_6 movie_20 [SEP] 3.0 5.0 3.0 [MASK],3.0
[CLS] user_71 [SEP] movie_35 movie_34 movie_14 movie_22 [SEP] 4.0 2.5 4.0 [MASK],3.0
[CLS] user_5 [SEP] movie_22 movie_89 movie_69 movie_15 [SEP] 5.0 3.0 4.0 [MASK],5.0
[CLS] user_12 [SEP] movie_46 movie_111 movie_22 movie_112 [SEP] 0.5 3.5 3.0 [MASK],3.0
[CLS] user_18 [SEP] movie_59 movie_38 movie_68 movie_17 [SEP] 4.0 2.5 3.0 [MASK],4.5
[CLS] user_63 [SEP] movie_15 movie_4 movie_6 movie_23 [SEP] 4.0 3.0 3.0 [MASK],5.0
[CLS] user_4 [SEP] movie_74 movie_80 movie_1 movie_24 [SEP] 4.0 4.0 4.0 [MASK],5.0
[CLS] user_2 [SEP] movie_43 movie_23 movie_59 movie_59 [SEP] 3.0 5.0 3.0 [MASK],3.0
[CLS] user_58 [SEP] movie_109 movie_17 movie_37 movie_152 [SEP] 3.0 4.0 3.0 [MASK],5.0
[CLS] user_42 [SEP] movie_22 movie_12 movie_20 movie_15 [SEP] 4.0 3.0 4.0 [MASK],3.0
[CLS] user_12 [SEP] movie_40 movie_47 movie_46 movie_17 [SEP] 4.5 3.5 0.5 [MASK],3.5
[CLS] user_71 [SEP] movie_10 movie_85 movie_35 movie_11 [SEP] 3.5 3.5 4.0 [MASK],3.0
[CLS] user_36 [SEP] movie_31 movie_58 movie_29 movie_94 [SEP] 5.0 4.0 4.0 [MASK],4.0
[CLS] user_60 [SEP] movie_39 movie_40 movie_15 movie_11 [SEP] 4.0 3.0 4.0 [MASK],4.0
[CLS] user_31 [SEP] movie_101 movie_46 movie_15 movie_101 [SEP] 3.0 5.0 5.0 [MASK],3.0
[CLS] user_11 [SEP] movie_20 movie_46 movie_3 movie_15 [SEP] 3.0 3.5 2.5 [MASK],4.0
[CLS] user_63 [SEP] movie_4 movie_15 movie_19 movie_48 [SEP] 3.0 4.0 3.0 [MASK],4.0
[CLS] user_65 [SEP] movie_44 movie_119 movie_31 movie_3 [SEP] 3.0 4.0 5.0 [MASK],5.0
[CLS] user_6 [SEP] movie_5 movie_93 movie_11 movie_10 [SEP] 3.5 0.5 2.5 [MASK],3.5
[CLS] user_66 [SEP] movie_34 movie_29 movie_37 movie_11 [SEP] 2.0 4.0 4.0 [MASK],2.0
[CLS] user_31 [SEP] movie_107 movie_101 movie_23 movie_50 [SEP] 5.0 3.0 5.0 [MASK],4.0
[CLS] user_33 [SEP] movie_94 movie_55 movie_18 movie_31 [SEP] 4.0 5.0 1.0 [MASK],5.0
[CLS] user_61 [SEP] movie_65 movie_154 movie_143 movie_59 [SEP] 3.0 4.0 4.0 [MASK],4.0
[CLS] user_7 [SEP] movie_72 movie_100 movie_15 movie_61 [SEP] 4.0 3.0 5.0 [MASK],5.0
[CLS] user_65 [SEP] movie_106 movie_75 movie_123 movie_37 [SEP] 4.0 5.0 3.0 [MASK],4.0
[CLS] user_46 [SEP] movie_127 movie_40 movie_61 movie_15 [SEP] 2.0 4.0 3.5 [MASK],5.0
[CLS] user_65 [SEP] movie_22 movie_120 movie_127 movie_23 [SEP] 4.0 3.0 3.0 [MASK],5.0
[CLS] user_52 [SEP] movie_114 movie_15 movie_10 movie_11 [SEP] 3.0 4.0 3.0 [MASK],3.0
[CLS] user_70 [SEP] movie_150 movie_29 movie_18 movie_150 [SEP] 1.0 5.0 3.0 [MASK],1.0
[CLS] user_48 [SEP] movie_9 movie_30 movie_1 movie_30 [SEP] 2.5 4.0 1.5 [MASK],4.0
[CLS] user_8 [SEP] movie_6 movie_40 movie_20 movie_23 [SEP] 4.0 4.0 3.5 [MASK],3.5
[CLS] user_67 [SEP] movie_29 movie_25 movie_23 movie_14 [SEP] 2.5 3.5 4.5 [MASK],4.5
[CLS] user_70 [SEP] movie_18 movie_29 movie_8 movie_6 [SEP] 3.0 5.0 3.0 [MASK],4.0
[CLS] user_46 [SEP] movie_29 movie_40 movie_11 movie_61 [SEP] 2.0 4.0 1.5 [MASK],3.5
[CLS] user_10 [SEP] movie_6 movie_73 movie_13 movie_108 [SEP] 4.0 4.0 4.0 [MASK],5.0
[CLS] user_62 [SEP] movie_54 movie_32 movie_48 movie_14 [SEP] 4.5 5.0 1.0 [MASK],4.0
[CLS] user_10 [SEP] movie_43 movie_27 movie_31 movie_86 [SEP] 4.0 4.0 5.0 [MASK],4.0
[CLS] user_23 [SEP] movie_22 movie_3 movie_1 movie_33 [SEP] 5.0 4.0 5.0 [MASK],4.0
[CLS] user_45 [SEP] movie_32 movie_125 movie_30 movie_4 [SEP] 4.0 3.0 4.0 [MASK],3.0
[CLS] user_47 [SEP] movie_21 movie_28 movie_40 movie_36 [SEP] 4.0 3.5 4.0 [MASK],4.5
[CLS] user_58 [SEP] movie_35 movie_52 movie_37 movie_57 [SEP] 5.0 2.0 3.0 [MASK],2.0
[CLS] user_7 [SEP] movie_10 movie_7 movie_20 movie_7 [SEP] 3.0 3.0 3.0 [MASK],3.0
[CLS] user_30 [SEP] movie_38 movie_133 movie_54 movie_80 [SEP] 3.5 1.5 2.5 [MASK],2.0
[CLS] user_47 [SEP] movie_28 movie_7 movie_40 movie_40 [SEP] 3.5 3.5 4.0 [MASK],4.0
[CLS] user_45 [SEP] movie_46 movie_21 movie_18 movie_86 [SEP] 1.0 4.0 1.0 [MASK],3.0
[CLS] user_10 [SEP] movie_58 movie_23 movie_86 movie_50 [SEP] 4.0 5.0 4.0 [MASK],4.0
[CLS] user_68 [SEP] movie_13 movie_106 movie_23 movie_106 [SEP] 4.0 1.0 5.0 [MASK],1.0
[CLS] user_58 [SEP] movie_94 movie_47 movie_58 movie_34 [SEP] 3.0 3.0 3.0 [MASK],4.0
[CLS] user_11 [SEP] movie_14 movie_15 movie_23 movie_22 [SEP] 3.5 4.0 4.0 [MASK],3.5
[CLS] user_69 [SEP] movie_20 movie_73 movie_24 movie_14 [SEP] 3.0 4.0 3.0 [MASK],3.0
[CLS] user_48 [SEP] movie_32 movie_94 movie_29 movie_23 [SEP] 4.5 2.5 4.0 [MASK],4.0
[CLS] user_50 [SEP] movie_58 movie_15 movie_67 movie_15 [SEP] 3.0 3.5 3.0 [MASK],3.5
[CLS] user_75 [SEP] movie_1 movie_39 movie_17 movie_17 [SEP] 4.5 4.5 5.0 [MASK],5.0
[CLS] user_39 [SEP] movie_17 movie_88 movie_22 movie_8 [SEP] 4.0 3.0 3.0 [MASK],3.0
[CLS] user_2 [SEP] movie_7 movie_45 movie_32 movie_52 [SEP] 5.0 4.0 5.0 [MASK],3.0
[CLS] user_62 [SEP] movie_32 movie_59 movie_15 movie_104 [SEP] 5.0 4.0 5.0 [MASK],4.0
[CLS] user_31 [SEP] movie_33 movie_99 movie_107 movie_33 [SEP] 3.0 4.0 5.0 [MASK],3.0
[CLS] user_41 [SEP] movie_34 movie_61 movie_36 movie_61 [SEP] 4.0 5.0 4.0 [MASK],5.0
[CLS] user_13 [SEP] movie_30 movie_59 movie_35 movie_33 [SEP] 5.0 4.0 3.0 [MASK],2.0
[CLS] user_72 [SEP] movie_23 movie_36 movie_28 movie_165 [SEP] 5.0 4.0 4.0 [MASK],3.0
[CLS] user_65 [SEP] movie_52 movie_98 movie_27 movie_162 [SEP] 5.0 2.0 4.0 [MASK],4.0
[CLS] user_50 [SEP] movie_141 movie_66 movie_37 movie_66 [SEP] 2.5 3.5 3.0 [MASK],3.5
[CLS] user_45 [SEP] movie_68 movie_58 movie_3 movie_21 [SEP] 3.5 4.0 3.0 [MASK],4.0
[CLS] user_62 [SEP] movie_54 movie_2 movie_104 movie_1 [SEP] 4.5 3.5 4.0 [MASK],3.0
[CLS] user_72 [SEP] movie_56 movie_50 movie_138 movie_50 [SEP] 5.0 5.0 4.0 [MASK],5.0
[CLS] user_50 [SEP] movie_117 movie_63 movie_58 movie_23 [SEP] 2.0 3.0 3.0 [MASK],4.0
[CLS] user_50 [SEP] movie_94 movie_19 movie_14 movie_63 [SEP] 2.5 2.5 2.0 [MASK],3.0
[CLS] user_20 [SEP] movie_104 movie_19 movie_6 movie_19 [SEP] 4.0 3.0 5.0 [MASK],3.0
[CLS] user_56 [SEP] movie_4 movie_6 movie_73 movie_59 [SEP] 3.0 4.0 5.0 [MASK],4.0
[CLS] user_29 [SEP] movie_59 movie_14 movie_86 movie_59 [SEP] 2.0 3.0 3.0 [MASK],2.0
[CLS] user_65 [SEP] movie_119 movie_75 movie_27 movie_156 [SEP] 4.0 5.0 4.0 [MASK],4.0
[CLS] user_45 [SEP] movie_86 movie_3 movie_58 movie_46 [SEP] 3.0 3.0 4.0 [MASK],1.0
[CLS] user_35 [SEP] movie_11 movie_85 movie_6 movie_6 [SEP] 3.0 2.0 4.0 [MASK],4.0
[CLS] user_60 [SEP] movie_20 movie_15 movie_39 movie_3 [SEP] 4.0 4.0 4.0 [MASK],4.0
