,itemId,title,category,description,option
430,25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,"Adventure, Comedy, Fantasy, Shounen",Special,1
434,122,Full Moon wo Sagashite,"Comedy, Drama, Music, Romance, Shoujo, Supernatural",TV,52
435,29095,Grisaia no Rakuen,"Drama, Harem, Psychological, Romance",TV,10
443,16916,Kuroko no Basket: Tip Off,"Comedy, School, Shounen, Sports",Special,1
451,6586,Yume-iro Pâtissière,"Kids, School, Shoujo",TV,50
458,4898,Kuroshitsuji,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,24
463,957,Saiunkoku Monogatari,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",TV,39
478,8408,Durarara!! Specials,"Action, Comedy, Supernatural",Special,2
480,4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,"Action, Comedy, Drama, Magic, Super Power",Movie,1
482,22,Prince of Tennis,"Action, Comedy, School, Shounen, Sports",TV,178
490,9289,Hanasaku Iroha,"Comedy, Drama, Seinen, Slice of Life",TV,26
501,4163,Seto no Hanayome OVA,"Comedy, Parody, Romance, School",OVA,2
502,3228,Zoku Sayonara Zetsubou Sensei,"Comedy, Parody, School",TV,13
505,13119,Hakuouki Movie 2: Shikon Soukyuu,"Action, Drama, Historical, Josei, Samurai, Supernatural",Movie,1
508,8310,Magic Kaito,"Adventure, Comedy, Romance, Shounen",Special,12
544,779,Detective Conan Movie 01: The Timed Skyscraper,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1
554,28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Action, Adventure, Fantasy, Military",TV,12
564,569,Musekinin Kanchou Tylor,"Comedy, Military, Parody, Sci-Fi, Space",TV,26
565,6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,"Fantasy, Historical, Romance",OVA,1
580,5005,Tentai Senshi Sunred,"Comedy, Parody, Seinen, Super Power",TV,26
601,543,Vampire Hunter D (2000),"Action, Drama, Fantasy, Horror, Romance, Sci-Fi, Vampire",Movie,1
602,23225,Yuru Yuri Nachuyachumi!,"Comedy, Shoujo Ai, Slice of Life",OVA,1
605,1505,Detective Conan Movie 09: Strategy Above the Depths,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1
617,12403,Yuru Yuri♪♪,"Comedy, School, Shoujo Ai, Slice of Life",TV,12
653,4472,Lucky☆Star: Original na Visual to Animation,"Comedy, Parody, School, Slice of Life",OVA,1
670,1961,Arashi no Yoru ni,"Adventure, Comedy, Drama, Fantasy",Movie,1
675,106,Hana yori Dango,"Drama, Romance, School, Shoujo",TV,51
687,552,Digimon Adventure,"Action, Adventure, Comedy, Fantasy, Kids",TV,54
697,1092,Mobile Suit Gundam III: Encounters in Space,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",Movie,1
706,13535,Binbougami ga!,"Comedy, Parody, Shounen, Supernatural",TV,13
710,10497,Hetalia World Series Specials,"Comedy, Historical, Parody",Special,4
719,16870,The Last: Naruto the Movie,"Action, Martial Arts, Romance, Shounen, Super Power",Movie,1
721,15197,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,"Action, Mecha, Military",Movie,1
727,5680,K-On!,"Comedy, Music, School, Slice of Life",TV,13
733,210,Ranma ½,"Comedy, Fantasy, Martial Arts, Slice of Life",TV,161
735,19775,Sidonia no Kishi,"Action, Mecha, Sci-Fi, Seinen, Space",TV,12
736,534,Slayers,"Adventure, Comedy, Demons, Fantasy, Magic",TV,26
742,1375,Watashi no Ashinaga Ojisan,"Comedy, Historical, Romance, School, Shoujo, Slice of Life",TV,40
750,4454,Macross F: Close Encounter - Deculture Edition,"Action, Mecha, Military, Music, Sci-Fi, Space",Special,1
752,15959,Nurarihyon no Mago OVA,"Action, Demons, Shounen, Supernatural",OVA,2
756,8407,Sora no Otoshimono: Forte,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,12
759,7305,Detective Conan Movie 10: Promo Special,"Adventure, Comedy, Mystery, Police, Shounen",Special,1
761,644,Hachimitsu to Clover Specials,"Comedy, Drama, Josei, Romance, Slice of Life",Special,2
773,29829,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,"Comedy, Drama, Slice of Life",Movie,1
788,2451,Space Cobra,"Action, Adventure, Sci-Fi, Space",TV,31
791,30413,Yowamushi Pedal Movie,"Comedy, Drama, Shounen, Sports",Movie,1
798,33082,Kingsglaive: Final Fantasy XV,Action,Movie,1
799,1096,Mobile Police Patlabor 2: The Movie,"Drama, Mecha, Mystery, Police, Sci-Fi",Movie,1
812,18055,Hakkenden: Touhou Hakken Ibun 2nd Season,"Action, Fantasy, Shoujo, Supernatural",TV,13
814,27991,K: Return of Kings,"Action, Super Power, Supernatural",TV,13
816,3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),"Comedy, Police, Slice of Life",TV,373
823,13851,To LOVE-Ru Darkness OVA,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,6
832,160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13
848,19671,Free!: FrFr - Short Movie,"Comedy, Sports",Special,7
865,5177,Denpa-teki na Kanojo,"Mystery, School, Thriller",OVA,2
875,17249,Pretty Rhythm: Rainbow Live,"Music, Shoujo, Slice of Life, Sports",TV,51
889,255,Jungle wa Itsumo Hare nochi Guu Final,"Comedy, Slice of Life",OVA,7
890,10790,Kore wa Zombie Desu ka? of the Dead,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV,10
906,26,Texhnolyze,"Action, Drama, Psychological, Sci-Fi",TV,22
924,24151,Ao Haru Ride OVA,"Romance, School, Shoujo, Slice of Life",OVA,2
928,28479,Detective Conan Movie 19: The Hellfire Sunflowers,"Action, Mystery, Police, Shounen",Movie,1
939,1483,Master Keaton,"Adventure, Mystery",TV,24
944,10715,Towa no Quon 4: Guren no Shoushin,"Action, Super Power, Supernatural",Movie,1
949,986,Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Special,1
954,6624,Kara no Kyoukai Remix: Gate of Seventh Heaven,"Action, Mystery, Romance, Super Power, Thriller",Movie,1
971,430,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",Movie,1
997,8532,Katekyo Hitman Reborn! Special,"Comedy, Shounen",ONA,1
1014,5204,Kara no Kyoukai 6: Boukyaku Rokuon,"Action, Magic, Mystery, Romance, Supernatural, Thriller",Movie,1
1016,324,Mobile Police Patlabor: On Television,"Comedy, Mecha, Police, Sci-Fi",TV,47
1034,7661,Giant Killing,"Drama, Seinen, Sports",TV,26
1050,11433,Ano Natsu de Matteru,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",TV,12
1053,12049,Fairy Tail Movie 1: Houou no Miko,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",Movie,1
1057,11617,High School DxD,"Comedy, Demons, Ecchi, Harem, Romance, School",TV,12
1078,857,Air Gear,"Action, Comedy, Ecchi, Shounen, Sports",TV,25
1098,16005,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,"Shounen, Supernatural",TV,12
1102,67,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Fantasy, Historical, Romance, Samurai, Supernatural",TV,24
1105,11359,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,"Action, Comedy, Fantasy, Sci-Fi, Shounen, Super Power",Special,1
1108,340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,"Action, Historical, Martial Arts, Samurai, Shounen",TV,26
1146,1873,Plawres Sanshirou,"Adventure, Mecha, School, Sci-Fi, Shounen, Sports",TV,37
1149,1861,Slam Dunk: Zenkoku Seiha Da! Sakuragi Hanamichi,"Comedy, Drama, School, Shounen, Slice of Life, Sports",Movie,1
1158,9839,Detective Conan: Black History 2,"Adventure, Comedy, Mystery, Police, Shounen",Special,1
1159,874,Digimon Tamers,"Adventure, Comedy, Drama, Fantasy, Shounen",TV,51
1162,1251,Fushigi no Umi no Nadia,"Adventure, Comedy, Historical, Romance, Sci-Fi",TV,39
1168,13245,New Prince of Tennis Specials,"Action, Comedy, Shounen, Sports",Special,7
1205,5494,Konnichiwa Anne: Before Green Gables,"Drama, Historical, Kids, Slice of Life",TV,39
1214,15989,Saki Achiga-hen: Episode of Side-A Specials,"Game, School, Slice of Life",Special,4
1231,23269,Hello!! Kiniro Mosaic,"Comedy, School, Slice of Life",TV,12
1234,32870,Kuroko no Basket Movie 2: Winter Cup Soushuuhen - Namida no Saki e,"School, Shounen, Sports",Movie,1
1236,96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49
1265,7041,Seto no Hanayome OVA Specials,"Comedy, Parody, School",Special,2
1287,1047,On Your Mark,"Drama, Music, Sci-Fi",Music,1
1302,200,Tenshi na Konamaiki,"Comedy, Magic, Romance, Shounen",TV,50
1306,13709,Afro Samurai Movie,"Action, Adventure, Samurai",Movie,1
1312,1454,Kemonozume,"Action, Demons, Horror, Romance, Supernatural",TV,13
1330,24627,Yamada-kun to 7-nin no Majo (OVA),"Comedy, Romance, School, Shounen",OVA,2
1334,1681,Brave Story,"Action, Adventure, Fantasy, Kids, Magic, Supernatural",Movie,1
1341,28607,Hetalia: The World Twinkle,"Comedy, Historical, Parody",ONA,15
1358,10209,Kore wa Zombie Desu ka? OVA,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",OVA,2
1361,24227,Nisekoi OVA,"Comedy, Harem, Romance, School, Shounen",OVA,3
1367,20671,Shashinkan,"Drama, Historical, Slice of Life",Movie,1
1369,567,The Big O,"Action, Mecha, Mystery, Psychological, Sci-Fi",TV,26
1371,481,Yu☆Gi☆Oh! Duel Monsters,"Adventure, Game, Shounen",TV,224
1377,1368,Detective Conan OVA 06: Follow the Vanished Diamond! Conan &amp; Heiji vs. Kid!,"Comedy, Mystery, Police, Shounen",OVA,1
1380,852,Gokinjo Monogatari,"Comedy, Drama, Romance, Slice of Life",TV,50
1401,12149,AKB0048,"Music, Sci-Fi",TV,13
1413,27631,God Eater,"Action, Fantasy, Military, Sci-Fi",TV,13
1415,5929,Hi no Ame ga Furu,"Drama, Historical",Movie,1
1416,28825,Himouto! Umaru-chan,"Comedy, School, Seinen, Slice of Life",TV,12
1428,5252,One Piece: Romance Dawn Story,"Action, Comedy, Fantasy, Shounen, Super Power",OVA,1
1434,24365,Tonari no Seki-kun Specials,"Comedy, School, Seinen",Special,2
1439,1069,Chou Denji Machine Voltes V,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",TV,40
1450,389,Karas,"Action, Fantasy, Sci-Fi",OVA,6
1459,12015,Tiger &amp; Bunny Movie 1: The Beginning,"Action, Comedy, Mystery, Super Power",Movie,1
1464,2922,Ashita no Joe 2 (Movie),"Drama, Sports",Movie,1
1465,4037,Cowboy Bebop: Yose Atsume Blues,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Special,1
1471,10110,Mayo Chiki!,"Comedy, Ecchi, Harem, Romance, School",TV,13
1472,8246,Naruto: Shippuuden Movie 4 - The Lost Tower,"Action, Comedy, Martial Arts, Shounen, Super Power",Movie,1
1481,10798,UN-GO,"Mystery, Supernatural",TV,11
1489,2553,Flanders no Inu,"Drama, Historical, Slice of Life",TV,52
1495,142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44
1496,1004,Kanojo to Kanojo no Neko,"Drama, Psychological, Romance, Slice of Life",OVA,1
1502,31414,Nijiiro Days,"Comedy, Romance, School, Shoujo, Slice of Life",TV,24
1512,5909,Seitokai no Ichizon,"Comedy, Harem, Parody, School",TV,12
1534,2954,Maria-sama ga Miteru 3rd Specials,Comedy,Special,5
1535,3469,Maria-sama ga Miteru: Haru Specials,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life",Special,6
1537,2929,Moonlight Mile 2nd Season: Touch Down,"Adventure, Drama, Sci-Fi, Space",TV,14
1543,2903,Sakigake!! Otokojuku,"Action, Comedy, Martial Arts, School, Shounen",TV,34
1546,1577,Taiho Shichau zo,"Action, Comedy, Police, Seinen",OVA,4
1547,5667,To LOVE-Ru OVA,"Comedy, Ecchi, Harem, School, Sci-Fi, Shounen",OVA,6
1553,9340,Cheburashka,Comedy,Movie,1
1558,9135,Fullmetal Alchemist: The Sacred Star of Milos,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Movie,1
1561,10870,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),"Comedy, Mecha, Sci-Fi",TV,12
1564,31665,Hibike! Euphonium: Kakedasu Monaka,"Drama, Music, School",Special,1
1570,10624,Mardock Scramble: The Second Combustion,"Action, Psychological, Sci-Fi",Movie,1
1577,1010,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,"Action, Adventure, Comedy, Martial Arts, Shounen, Supernatural",Movie,1
1583,7870,Baka to Test to Shoukanjuu Specials,"Comedy, Magic, School",Special,6
1586,29067,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,"Comedy, Seinen, Slice of Life",TV,13
1589,9032,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,"Shounen, Sports, Super Power",Movie,1
1590,1878,Kaze no Shoujo Emily,"Drama, Historical, Shoujo",TV,26
1599,6896,Pandora Hearts Specials,Comedy,Special,9
1601,16123,Saki Zenkoku-hen,"Game, School, Slice of Life",TV,13
1610,10629,Tibet Inu Monogatari,Adventure,Movie,1
1612,113,Uchuu no Stellvia,"Action, Romance, Sci-Fi, Space",TV,26
1619,3744,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,"Drama, Historical, Kids, Romance, Samurai",Movie,1
1631,2927,Kimikiss Pure Rouge,"Drama, Romance, School",TV,24
1637,5984,Ristorante Paradiso,"Drama, Josei, Romance, Slice of Life",TV,11
1643,3125,Tokimeki Tonight,"Comedy, Fantasy, Romance, Shoujo, Vampire",TV,34
1663,4551,Hakushaku to Yousei,"Adventure, Fantasy, Historical, Magic",TV,12
1674,1064,Mazinkaiser,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",OVA,7
1685,2942,Sketchbook: Full Color&#039;s,"Comedy, Slice of Life",TV,13
1693,1744,Wagamama☆Fairy Mirumo de Pon!,"Adventure, Comedy, Drama, Fantasy, Kids, Magic, Romance, School, Shoujo",TV,172
1695,878,Zegapain,"Action, Mecha, Romance, Sci-Fi",TV,26
1699,1078,Cardcaptor Sakura: Leave It to Kero-chan,Comedy,Movie,1
1704,408,Final Fantasy VII: Last Order,"Action, Adventure, Drama, Fantasy, Sci-Fi",OVA,1
1717,601,Nekojiru-sou,"Comedy, Dementia, Psychological",OVA,1
1721,710,Rec,"Comedy, Drama, Romance",TV,9
1723,20709,Sabagebu!,"Action, Comedy, Military, Shoujo",TV,12
1728,8098,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,"Action, Drama, Mecha, Military, Sci-Fi",Movie,1
1732,2009,Yawara! Special: Zutto Kimi no Koto ga... .,"Action, Comedy, Drama, Martial Arts, Slice of Life, Sports",Special,1
1736,2986,Bamboo Blade,"Comedy, School, Seinen, Sports",TV,26
1742,908,Fullmetal Alchemist: Premium Collection,"Comedy, Fantasy, Shounen",OVA,3
1750,714,High School! Kimengumi,"Comedy, Parody, Romance, School, Shounen",TV,86
1764,1302,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,"Adventure, Drama, Sci-Fi, Space",Movie,1
1767,2555,Shoukoushi Cedie,"Drama, Shoujo, Slice of Life",TV,43
1787,5521,Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,"Action, Comedy, Harem, Parody, Romance",OVA,1
1788,191,Love Hina Christmas Special: Silent Eve,"Comedy, Romance, Slice of Life",Special,1
1797,18041,Rozen Maiden (2013),"Action, Comedy, Drama, Magic, Seinen",TV,13
1811,2658,Doraemon Movie 09: Nobita no Parallel Saiyuuki,"Adventure, Fantasy, Kids, Sci-Fi, Shounen",Movie,1
1817,30991,Himouto! Umaru-chan: Umaru-chan Mou Ikkai!,"Comedy, School, Seinen, Slice of Life",OVA,1
1837,4664,Rurouni Kenshin: Special Techniques,"Action, Comedy, Samurai",Special,1
1842,4663,Tekken Chinmi,"Action, Adventure, Historical, Martial Arts, Shounen",TV,20
1850,1983,Black Jack: Futari no Kuroi Isha,Drama,Movie,1
1857,19645,Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai,"Adventure, Comedy, Fantasy, Kids",Movie,1
1879,2013,Taiho Shichau zo The Movie,"Action, Comedy, Drama, Police, Shounen",Movie,1
1883,5764,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,"Comedy, Ecchi, Fantasy, Harem, Magic",Special,1
1884,5525,07-Ghost,"Action, Demons, Fantasy, Magic, Military, Shoujo",TV,25
1896,27829,Heavy Object,"Action, Mecha, Military, Sci-Fi",TV,24
1901,16732,Kiniro Mosaic,"Comedy, School, Slice of Life",TV,12
1965,4726,Druaga no Tou: The Sword of Uruk,"Adventure, Fantasy",TV,12
1978,17247,Machine-Doll wa Kizutsukanai,"Action, Ecchi, Fantasy, School, Seinen",TV,12
1987,3861,Shaman King Specials,"Action, Comedy, Shounen, Supernatural",Special,5
2001,8369,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Movie,1
2012,7769,Ookami-san to Shichinin no Nakama-tachi,"Comedy, Parody, Romance",TV,12
2014,10448,Rain Town,Drama,ONA,1
2021,75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",TV,25
2023,30344,The iDOLM@STER Cinderella Girls 2nd Season,"Comedy, Drama, Music",TV,12
2026,712,Zoids Genesis,"Action, Adventure, Comedy, Mecha, Military",TV,50
2032,3627,D.C.II S.S.: Da Capo II Second Season,"Comedy, Drama, Fantasy, Harem, Romance",TV,13
2036,2670,Doraemon Movie 12: Nobita no Dorabian Nights,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1
2039,655,Galaxy Angel 4,"Comedy, Sci-Fi",TV,13
2049,8134,"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!",Comedy,Movie,1
2055,2020,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,"Adventure, Comedy, Fantasy, Shounen",Special,1
2060,19021,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,"Comedy, Drama, Romance, School, Slice of Life",Movie,1
2075,14765,Ixion Saga DT,"Action, Comedy, Fantasy",TV,25
2076,16035,Karneval (TV),"Action, Fantasy, Mystery, Sci-Fi, Shoujo",TV,13
2085,4056,Masuda Kousuke Gekijou Gag Manga Biyori 3,Comedy,TV,12
2086,8424,MM!,"Comedy, Ecchi, Harem, School",TV,12
2093,6758,Tatakau Shisho: The Book of Bantorra,"Action, Fantasy, Seinen, Super Power",TV,27
2101,30206,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Comedy,Special,1
2103,1723,Clannad Movie,"Drama, Fantasy, Romance, School",Movie,1
2109,3418,Jungle no Ouja Taa-chan,"Action, Comedy, Parody",TV,50
2111,3229,Kimi ga Aruji de Shitsuji ga Ore de,"Comedy, Ecchi, Harem, Parody, Romance",TV,13
2115,32245,Kuromukuro,"Action, Mecha, Sci-Fi",TV,26
2127,13055,Sankarea OVA,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",OVA,2
2135,30901,Utawarerumono: Itsuwari no Kamen,"Action, Drama, Fantasy",TV,25
2145,21635,GJ-bu@,"Comedy, School, Slice of Life",Special,1
2154,1437,Lupin III: Honoo no Kioku - Tokyo Crisis,"Action, Adventure, Comedy, Mystery, Shounen",Special,1
2173,32323,Aishen Qiaokeli-ing...,"Comedy, Harem, Romance, School",ONA,15
2176,1205,Aru Tabibito no Nikki,"Adventure, Fantasy",ONA,6
2180,9379,Denpa Onna to Seishun Otoko,"Comedy, Sci-Fi, Seinen, Slice of Life",TV,12
2184,893,Dragon Ball Movie 4: Saikyou e no Michi,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power",Movie,1
2185,1299,Flag,"Mecha, Military",ONA,13
2217,13939,Accel World EX,"Action, Game, Romance, School, Sci-Fi",OVA,2
2228,31737,Gakusen Toshi Asterisk 2nd Season,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi, Supernatural",TV,12
2232,10507,Inazuma Eleven Go,"Shounen, Sports, Super Power",TV,47
2240,3247,Love Hina Final Selection,"Comedy, Ecchi, Harem, Romance",OVA,1
2261,27825,Dragon Nest: Warriors&#039; Dawn,"Action, Adventure, Fantasy, Magic",Movie,1
2263,1335,Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi,"Comedy, Mecha, Sci-Fi",Special,26
2282,3594,Tears to Tiara,"Action, Adventure, Fantasy, Magic",TV,26
2288,6901,Battle Spirits: Shounen Gekiha Dan,"Action, Game, Shounen",TV,50
2294,3298,Hatenkou Yuugi,"Adventure, Comedy, Drama, Fantasy, Romance, Shoujo",TV,10
2300,12175,Koi to Senkyo to Chocolate,"Drama, Romance, School",TV,12
2312,6169,Tenjou-jin to Akuto-jin Saigo no Tatakai,"Action, Fantasy, Magic, Super Power, Supernatural",Movie,1
2316,23447,"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.","Comedy, Drama, Romance, Sci-Fi, Slice of Life",Special,1
2318,6164,Aoi Hana,"Romance, Shoujo Ai, Slice of Life",TV,11
2324,21437,Buddy Complex,"Action, Mecha, Sci-Fi",TV,13
2332,395,Gantz 2nd Stage,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",TV,13
2340,1556,Kikoushi Enma,"Demons, Ecchi, Fantasy, Horror, Magic, Seinen, Supernatural",OVA,4
2346,352,Motto! Ojamajo Doremi,"Comedy, Fantasy, Magic, Shoujo",TV,50
2363,14829,Fate/kaleid liner Prisma☆Illya,"Action, Comedy, Fantasy, Magic",TV,10
2371,1414,Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,"Action, Adventure, Comedy, Shounen",Special,1
2376,14293,Nerawareta Gakuen,"Romance, School, Sci-Fi",Movie,1
2439,2659,Doraemon Movie 14: Nobita to Buriki no Labyrinth,Fantasy,Movie,1
2485,15359,Kyousou Giga (2012),"Action, Fantasy, Supernatural",ONA,5
2488,30014,Momokuri,"Comedy, Romance, Slice of Life",ONA,26
2491,1732,Negima!? Natsu Special!?,"Comedy, Ecchi, Fantasy, Romance",OVA,1
2512,1778,Dae Jang Geum: Jang Geum&#039;s Dream,"Adventure, Comedy, Historical",TV,26
2525,872,Mahou Shoujo-tai Arusu,"Adventure, Comedy, Fantasy, Magic",TV,40
2538,13171,Wasurenagumo,"Comedy, Supernatural",Movie,1
2556,1215,Mobile Suit Gundam Seed C.E.73: Stargazer,"Mecha, Military, Sci-Fi, Space",ONA,3
2565,482,Yu☆Gi☆Oh!: Duel Monsters GX,"Action, Comedy, Fantasy, Game, Shounen",TV,180
2573,4286,Bonobono (TV),Comedy,TV,48
2577,8364,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,"Comedy, Ecchi, Kids, School, Shounen, Slice of Life",Movie,1
2578,424,Dirty Pair,"Adventure, Comedy, Police, Sci-Fi",TV,24
2581,665,JoJo no Kimyou na Bouken: Adventure,"Adventure, Drama, Fantasy, Horror, Shounen, Supernatural, Vampire",OVA,7
2598,762,Bleach: Memories in the Rain,"Action, Adventure, Drama, Shounen, Supernatural",Special,1
2600,1312,Chikyuu Bouei Kigyou Dai-Guard,"Adventure, Comedy, Mecha, Military, Sci-Fi",TV,26
2610,2176,Kiddy Grade: Ignition,"Action, Mecha, Sci-Fi, Super Power",Movie,1
2614,4926,Marco: Haha wo Tazunete Sanzenri,"Adventure, Drama",Movie,1
2618,2200,Muteki Choujin Zanbot 3,"Action, Drama, Mecha, Sci-Fi, Shounen",TV,23
